PID, POSTTIME, CITY, STATE, MAKE, MODEL, PRICE, YEAR, MILES, URL, TITLE, ATTR, IMGLINK, MESSAGE
6194176116,2017-06-26 16:24,sfbay,CA,toyota,camry,3000,1997,260000,https://sfbay.craigslist.org/nby/cto/6194176116.html,1997 toyota camry le,condition: good#cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 260000#paint color: brown#size: mid-size#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00h0h_ltukwuODXPE_600x450.jpg,i have a 1997 toyota camry for sale. (4 cyl 2.2 5sfe) automatic . great on gas; very economical. would recommend this car for any first time driver. this vehicle has not been in any major accidents; some few scrapes and bumps from the previous owner but all minor. cash only!!!!  i have put a lot of work into this car since i got it. here is the list of things i replace#driver side cv axle#passenger side cv axle#both inner and outer tie rods#driver side shocks and struts ( front )#passenger side shocks and struts( front )#spark plugs#spark plug wire set#transmission gasket and filter#oil and filter#fuel filter#radiator#radiator upper and lower hose#thermostat and gasket#all new radiator fluid ( red )#k&n air filter#new tires#new brake pads#shampooed interior upholstery and carpets#driver side marker light assembly#other than that i still am planning on doing the timing and water pump and fixing a small oil leak that all toyota camrys of these years have. passes smog just fine; registration good till february of 2018.#interested in this great little four banger; text me#show contact info
6188935757,2017-06-25 11:33,sfbay,CA,toyota,camry,3350,2001,159000,https://sfbay.craigslist.org/nby/cto/6188935757.html,toyota camry le 2001 159k miles 4 cylinder; 30 mpg,cylinders: 4 cylinders#fuel: gas#title status: clean#transmission: automatic,https://images.craigslist.org/00Z0Z_j2ZX6lVR7S3_600x450.jpg,toyota camry le 2001 159k miles 4 cylinder; 30 mpg#-159k easy driven miles#-smog check obtained for the new owner#-registration is current#-newer battery#-4 cylinder smooth running engine (has received all scheduled maintenance)#-automatic transmission (routinely serviced)#-clean title#-beautiful interior#-non-smoker ; and no pets have ever been in the car#-garaged all of its life#-this is a family owned vehicle#-new timing belt and water pump installed 130k miles.#-good michelin tires#-good brakes (recently checked)#-absolutely no leaks of any kind#-no electrical problems#-beautiful factory toyota alloy rims#-power door locks; power side mirrors with tilt wheel#- am/fm cassette  and cd player#- cold air conditioning; hot heater.#-all of the maintenance has been done regularly by a professional shop#camrys are known to be wonderful cars for new and experienced drivers; or a comfortable commuter.#$3350.00
6188947930,2017-06-25 11:32,sfbay,CA,toyota,camry,3350,2001,159000,https://sfbay.craigslist.org/sby/cto/6188947930.html,toyota camry le 2001 159k miles 4 cylinder; 30 mpg,cylinders: 4 cylinders#fuel: gas#title status: clean#transmission: automatic,https://images.craigslist.org/00Z0Z_j2ZX6lVR7S3_600x450.jpg,toyota camry le 2001 159k miles 4 cylinder; 30 mpg#-159k easy driven miles#-smog check obtained for the new owner#-registration is current#-newer battery#-4 cylinder smooth running engine (has received all scheduled maintenance)#-automatic transmission (routinely serviced)#-clean title#-beautiful interior#-non-smoker ; and no pets have ever been in the car#-garaged all of its life#-this is a family owned vehicle#-new timing belt and water pump installed 130k miles.#-good michelin tires#-good brakes (recently checked)#-absolutely no leaks of any kind#-no electrical problems#-beautiful factory toyota alloy rims#-power door locks; power side mirrors with tilt wheel#- am/fm cassette  and cd player#- cold air conditioning; hot heater.#-all of the maintenance has been done regularly by a professional shop#camrys are known to be wonderful cars for new and experienced drivers; or a comfortable commuter.#$3350.00
6195847733,2017-06-27 19:57,sfbay,CA,toyota,camry,3750,2003,205000,https://sfbay.craigslist.org/sby/cto/6195847733.html,2003 toyota camry le,condition: excellent#cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 205000#paint color: blue#size: full-size#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00505_7mCX6VvgOVX_600x450.jpg,toyota camry 2003 for sale#clean title#runs great#no issues#everything works#good condition in and out#205k miles#engine changed at 175k#only 30k on the new engine#registered till 2018#new brakes#new spark plugs#maintenance always done on time#price can be negotiated#feel free to call or text anytime#show contact info#sam.
6195812838,2017-06-27 19:18,sfbay,CA,toyota,camry,5750,2006,170000,https://sfbay.craigslist.org/eby/cto/6195812838.html,toyota camry 2006,condition: excellent#cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 170000#paint color: grey#size: full-size#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00z0z_9N9UH7jMWDY_600x450.jpg,toyota camry 2006 le#clean title#nice interior#run great#no problems it all#tint windows#alarm#key less (2 remote control)#good tires#all his service been done in time#most miles are on the freeway#great in gas#170k miles#tags are current#more info call#show contact info#hablo espaol#show contact info
6195747318,2017-06-27 18:52,sfbay,CA,toyota,camry,14000,2014,30000,https://sfbay.craigslist.org/sfc/cto/6195747318.html,2014 toyota camry le - 30k miles,condition: excellent#fuel: gas#odometer: 30000#title status: clean#transmission: automatic,https://images.craigslist.org/00202_lSU6lZOAkJX_600x450.jpg,selling my toyota camry; no longer have a need for it. this camry has been well maintained; i have all of the maintenance records and it has some nice options!#here are the vehicle details#- year: 2014#- make: toyota#- model: camry#- trim: le#- miles: 30;000#- transmission: automatic#- drive: fwd#- leather seats; bluetooth
6195741689,2017-06-27 18:16,sfbay,CA,toyota,camry,12995,2008,46000,https://sfbay.craigslist.org/eby/cto/6195741689.html,2008 toyota camry hybrid only 46;000 miles,condition: excellent#fuel: hybrid#odometer: 46000#paint color: grey#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00t0t_wZSMUTE08J_600x450.jpg,2008 toyota camry hybrid clean title with only 45;710#clean inside out#automatic#great tires#everything works#no leaks;very clean car#your price: $12;995 firm quick sale! please do not low ball me
6195743678,2017-06-27 18:06,sfbay,CA,toyota,camry,6900,2007,117000,https://sfbay.craigslist.org/eby/cto/6195743678.html,2007 toyota camry,condition: excellent#cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 117000#paint color: silver#size: full-size#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00f0f_g4IAYNAQ6K9_600x450.jpg,im selling my 2007  toyota camry   in great condition. it has brand new tires; brand new brakes; moonroof; car has been very well maintained and rides and drives excellent. always parked in garage.#show contact info
6188998282,2017-06-27 17:50,sfbay,CA,toyota,camry,4940,2004,156267,https://sfbay.craigslist.org/sby/cto/6188998282.html,2004 toyota camry le - clean title,condition: good#cylinders: 4 cylinders#fuel: gas#odometer: 156267#paint color: blue#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00L0L_6eLz6FzkTH3_600x450.jpg,2004 toyota camry le#clean title; two owner; no accident#in excellent cosmetic and mechanical condition#all power#smog certificate ready#please call for appointments#show contact info
6195714276,2017-06-27 17:38,sfbay,CA,toyota,camry,7950,2011,93000,https://sfbay.craigslist.org/eby/cto/6195714276.html,2011 toyota camry le clean title low miles,cylinders: 4 cylinders#drive: fwd#fuel: gas#odometer: 93000#size: full-size#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00606_kfsFrdu1L0f_600x450.jpg,for sale is a gold toyota camry le in great condition#clean title#mechanically has no issues#transmission is good#car is very clean inside and out#smog done and passed#only 93;000 miles#fuel economy:#city 23/hwy 33/comb 27 mpg#engine: 4-cyl; 2.5 liter#contact me anytime at#show contact info
